longitud,latitud
-71.548428813832913,-33.019999057401009
-71.548434773532534,-33.019998935627704
-71.548438672427551,-33.020341490533085
-71.54839588580198,-33.020342364782948
-71.548396404671308,-33.020360387579373
-71.548375011353485,-33.020360824699111
-71.548376049084851,-33.020396870292394
-71.548440229063004,-33.020395558920391
-71.548438672427551,-33.020341490533085
-71.548436078044361,-33.020251376553027
-71.548393291462219,-33.020252250799899
-71.548394848064689,-33.020306319189899
-71.548437634672879,-33.020305444941229
-71.548436078044361,-33.020251376553027
-71.548317081323233,-33.020524308924855
-71.548330619482655,-33.020596165904664
-71.548403150014749,-33.020594683927541
-71.54840418776682,-33.020630729518693
-71.54842558114936,-33.020630292390798
-71.548426100030426,-33.02064831518598
-71.548404706643552,-33.020648752314166
-71.548406782155112,-33.020720843495482
-71.548428175559366,-33.020720406366095
-71.54847096236648,-33.020719532096344
-71.548471481258559,-33.02073755489063
-71.548492874665769,-33.02073711774996
-71.548490799082856,-33.02066502657366
-71.548469405693027,-33.020665463713136
-71.548467849023723,-33.020611395329389
-71.548489242400521,-33.020610958190815
-71.548488204614614,-33.020574912601951
-71.548466811246499,-33.020575349739929
-71.548464735697607,-33.020503258560296
-71.548443342346417,-33.020503695693414
-71.548442823464683,-33.020485672898054
-71.548421430117386,-33.020486110027221
-71.548422467872612,-33.020522155618472
-71.548401074516136,-33.020522592744562
-71.548398480153281,-33.020432478764498
-71.548312906809699,-33.020434227226275
-71.548314982229542,-33.020506318415229
-71.548336375583503,-33.020505881304082
-71.548336894443977,-33.020523904100877
-71.548317081323233,-33.020524308924855
-71.548469924583713,-33.0206834865076
-71.548470443474855,-33.020701509302
-71.548449050075874,-33.020701946438415
-71.548448531189081,-33.020683923643709
-71.548469924583713,-33.0206834865076
-71.548646600584405,-33.021094644405245
-71.548620082981969,-33.020968952517975
-71.548606587672808,-33.020969228288621
-71.54860710659743,-33.020987251080285
-71.548585713131715,-33.020987688243459
-71.548586232052443,-33.02100571103535
-71.548607625522507,-33.021005273871879
-71.548610220154828,-33.021095387828979
-71.548646600584405,-33.021094644405245
-71.548477707999552,-33.020953828417419
-71.548456314539735,-33.020954265558025
-71.548457352327688,-33.020990311145582
-71.548478745796189,-33.020989874004385
-71.548479264695189,-33.021007896797776
-71.548500658167555,-33.021007459652616
-71.548501695975673,-33.02104350523863
-71.548565876416077,-33.02104219377938
-71.54856431966553,-33.020988125402965
-71.548521532731769,-33.020988999711001
-71.548500139264206,-33.020989436859523
-71.548499620361326,-33.020971414066359
-71.548478226897629,-33.020971851210923
-71.548477707999552,-33.020953828417419
-71.54878851797551,-33.022083580886623
-71.548745730520054,-33.022084455297083
-71.548746768470522,-33.022120500869988
-71.548789555943358,-33.022119626458327
-71.54878851797551,-33.022083580886623
-71.548721462848377,-33.021489849256099
-71.548705361179415,-33.021400011332219
-71.548683222685355,-33.021400463739887
-71.5486842605833,-33.021436509318505
-71.548705654155796,-33.021436072133206
-71.54870721101922,-33.021490140499786
-71.548721462848377,-33.021489849256099
-71.548615928386639,-33.021293638529386
-71.548551747766538,-33.021294950023183
-71.548553823448927,-33.021367041188768
-71.5485752170068,-33.021366604026632
-71.548596610564204,-33.021366166860844
-71.548597129494652,-33.021384189651499
-71.548639916616793,-33.021383315308327
-71.548639397677661,-33.021365292518261
-71.548660791233686,-33.021364855341481
-71.548659753348119,-33.021328809761812
